"survey";200829;"Suzanne Vedel Bikeability"
"s_25_19";2;"Lidt ubehageligt/ irriterende"
"s_25_19";3;"Ikke ubehageligt/ irriterende"
"s_25_19";6;"Ved ikke"
"s_25_31";1;"Meget tilfreds"
"s_25_31";2;"Tilfreds"
"s_25_31";3;"Hverken eller"
"s_25_31";4;"Utilfreds"
"s_25_31";5;"Meget utilfreds"
"s_25_31";6;"Ved ikke"
"s_25_34";1;"Meget tilfreds"
"s_25_34";2;"Tilfreds"
"s_25_34";3;"Hverken eller"
"s_25_34";4;"Utilfreds"
"s_25_34";5;"Meget utilfreds"
"s_25_34";6;"Ved ikke"
"s_25_35";1;"Meget tilfreds"
"s_25_35";2;"Tilfreds"
"s_25_35";3;"Hverken eller"
"s_25_35";4;"Utilfreds"
"s_25_35";5;"Meget utilfreds"
"s_25_35";6;"Ved ikke"
"s_25_12";1;"Meget tilfreds"
"s_25_12";2;"Tilfreds"
"s_25_12";3;"Hverken eller"
"s_25_12";4;"Utilfreds"
"s_25_12";5;"Meget utilfreds"
"s_25_12";6;"Ved ikke"
"s_25_13";1;"Meget tilfreds"
"s_25_13";2;"Tilfreds"
"s_25_13";3;"Hverken eller"
"s_25_13";4;"Utilfreds"
"s_25_13";5;"Meget utilfreds"
"s_25_13";6;"Ved ikke"
"s_25_37";1;"Meget tilfreds"
"s_25_37";2;"Tilfreds"
"s_25_37";3;"Hverken eller"
"s_25_37";4;"Utilfreds"
"s_25_37";5;"Meget utilfreds"
"s_25_37";6;"Ved ikke"
"s_25_14";1;"Meget tilfreds"
"s_25_14";2;"Tilfreds"
"s_25_14";3;"Hverken eller"
"s_25_14";4;"Utilfreds"
"s_25_14";5;"Meget utilfreds"
"s_25_14";6;"Ved ikke"
"s_25_17";1;"Meget tilfreds"
"s_25_17";2;"Tilfreds"
"s_25_17";3;"Hverken eller"
"s_25_17";4;"Utilfreds"
"s_25_17";5;"Meget utilfreds"
"s_25_17";6;"Ved ikke"
"s_25_18";1;"Meget tilfreds"
"s_25_18";2;"Tilfreds"
"s_25_18";3;"Hverken eller"
"s_25_18";4;"Utilfreds"
"s_25_18";5;"Meget utilfreds"
"s_25_18";6;"Ved ikke"
"s_26";1;"Ja"
"s_26";2;"Nej"
"s_26";3;"Ved ikke"
"s_33_5";2;"Rute A"
"s_33_5";3;"Rute B"
"s_33_5";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_13";2;"Rute A"
"s_33_13";3;"Rute B"
"s_33_13";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_15";2;"Rute A"
"s_33_15";3;"Rute B"
"s_33_15";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_17";2;"Rute A"
"s_33_17";3;"Rute B"
"s_33_17";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_19";2;"Rute A"
"s_33_19";3;"Rute B"
"s_33_19";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_21";2;"Rute A"
"s_33_21";3;"Rute B"
"s_33_21";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_7";2;"Rute A"
"s_33_7";3;"Rute B"
"s_33_7";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_23";2;"Rute A"
"s_33_23";3;"Rute B"
"s_33_23";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_25";2;"Rute A"
"s_33_25";3;"Rute B"
"s_33_25";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_27";2;"Rute A"
"s_33_27";3;"Rute B"
"s_33_27";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_29";2;"Rute A"
"s_33_29";3;"Rute B"
"s_33_29";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_31";2;"Rute A"
"s_33_31";3;"Rute B"
"s_33_31";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_1";2;"Rute A"
"s_33_1";3;"Rute B"
"s_33_1";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_33";2;"Rute A"
"s_33_33";3;"Rute B"
"s_33_33";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_35";2;"Rute A"
"s_33_35";3;"Rute B"
"s_33_35";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_37";2;"Rute A"
"s_33_37";3;"Rute B"
"s_33_37";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_39";2;"Rute A"
"s_33_39";3;"Rute B"
"s_33_39";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_41";2;"Rute A"
"s_33_41";3;"Rute B"
"s_33_41";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_3";2;"Rute A"
"s_33_3";3;"Rute B"
"s_33_3";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_43";2;"Rute A"
"s_33_43";3;"Rute B"
"s_33_43";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_45";2;"Rute A"
"s_33_45";3;"Rute B"
"s_33_45";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_47";2;"Rute A"
"s_33_47";3;"Rute B"
"s_33_47";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_49";2;"Rute A"
"s_33_49";3;"Rute B"
"s_33_49";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_51";2;"Rute A"
"s_33_51";3;"Rute B"
"s_33_51";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_9";2;"Rute A"
"s_33_9";3;"Rute B"
"s_33_9";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_53";2;"Rute A"
"s_33_53";3;"Rute B"
"s_33_53";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_55";2;"Rute A"
"s_33_55";3;"Rute B"
"s_33_55";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_57";2;"Rute A"
"s_33_57";3;"Rute B"
"s_33_57";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_59";2;"Rute A"
"s_33_59";3;"Rute B"
"s_33_59";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_61";2;"Rute A"
"s_33_61";3;"Rute B"
"s_33_61";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_11";2;"Rute A"
"s_33_11";3;"Rute B"
"s_33_11";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_63";2;"Rute A"
"s_33_63";3;"Rute B"
"s_33_63";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_65";2;"Rute A"
"s_33_65";3;"Rute B"
"s_33_65";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_67";2;"Rute A"
"s_33_67";3;"Rute B"
"s_33_67";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_69";2;"Rute A"
"s_33_69";3;"Rute B"
"s_33_69";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_33_71";2;"Rute A"
"s_33_71";3;"Rute B"
"s_33_71";1;"Jeg ville ikke cykle nogen af disse ruter: (evt. begrundelse)"
"s_34_1";0;"Ikke valgt"
"s_34_1";1;"Valgt"
"s_34_2";0;"Ikke valgt"
"s_34_2";1;"Valgt"
"s_34_3";0;"Ikke valgt"
"s_34_3";1;"Valgt"
"s_34_4";0;"Ikke valgt"
"s_34_4";1;"Valgt"
"s_34_5";0;"Ikke valgt"
"s_34_5";1;"Valgt"
"s_34_6";0;"Ikke valgt"
"s_34_6";1;"Valgt"
"s_35";1;"De nævnte egenskaber er ikke vigtige for mig"
"s_35";2;"Jeg glemte dem"
"s_35";3;"Jeg synes det var svært at forholde mig til så mange ting samtidig"
"s_35";4;"Andet:(skriv venligst hvad)"
"s_37_1";1;"De nævnte egenskaber er ikke vigtige for mig"
"s_37_1";2;"Jeg synes det var svært at vælge"
"s_37_1";5;"Jeg vil altid vælge den korteste rute"
"s_37_1";4;"Andet:(skriv venligst hvad)"
"s_38";1;"Kvinde/pige"
"s_38";2;"Mand/dreng"
"s_40";1;"Grundskole 7.-10. klasse ( folkeskole, mellemskole, realskole)"
"s_40";2;"Gymnasial uddannelse (f.eks. HF, HH, HTX, studenterkursus)"
"s_40";3;"Erhvervsfaglig uddannelse (f.eks. handelsskole, teknisk skole, håndværker)"
"s_40";4;"Kort videregående uddannelse (1-2 år, f.eks. laborant, datamatiker)"
"s_40";5;"Mellemlang videregående uddannelse (2-4 år, f.eks. bachelor, sygeplejerske, folkeskolelærer)"
"s_40";6;"Lang videregående uddannelse (over 4 år, f.eks. universitetsuddannet)"
"s_40";7;"Andet"
"s_41";1;"Selvstændig erhvervsdrivende"
"s_41";2;"Medarbejdende ægtefælle"
"s_41";3;"Lønmodtager - fuld tid"
"s_41";4;"Lønmodtager på deltid/nedsat tid"
"s_41";5;"Arbejdsløs"
"s_41";6;"På orlov"
"s_41";7;"Under uddannelse"
"s_41";8;"Førtidspensionist"
"s_41";9;"Folkepensionist"
"s_41";10;"Efterlønsmodtager"
"s_41";11;"Andet"
"s_2";1;"Lejlighed i etageejendom (leje, andel eller ejerbolig)"
"s_2";2;"Rækkehus"
"s_2";3;"Villa/en-familieshus"
"s_2";4;"Landejendom"
"s_2";5;"Andet"
"s_3";1;"Under 99.000 kr."
"s_3";2;"100.000 - 199.999 kr."
"s_3";3;"200.000 - 299.999 kr."
"s_3";4;"300.000 - 399.999 kr."
"s_3";5;"400.000 - 499.999 kr."
"s_3";6;"500.000 - 599.999 kr."
"s_3";7;"600.000 - 699.999 kr."
"s_3";8;"700.000 - 799.999 kr."
"s_3";9;"800.000 - 899.999 kr."
"s_3";10;"Mere end 900.000 kr."
"s_4";1;"Under 99.000 kr."
"s_4";2;"100.000 - 199.999 kr."
"s_4";3;"200.000 - 299.999 kr."
"s_4";4;"300.000 - 399.999 kr."
"s_4";5;"400.000 - 499.999 kr."
"s_4";6;"500.000 - 599.999 kr."
"s_4";7;"600.000 - 699.999 kr."
"s_4";8;"700.000 - 799.999 kr."
"s_4";9;"800.000 - 899.999 kr."
"s_4";10;"Mere end 900.000 kr."
"s_6_1_1";0;"Ikke valgt"
"s_6_1_1";1;"Valgt"
"s_6_1_2";0;"Ikke valgt"
"s_6_1_2";1;"Valgt"
"s_6_1_3";0;"Ikke valgt"
"s_6_1_3";1;"Valgt"
"s_6_1_4";0;"Ikke valgt"
"s_6_1_4";1;"Valgt"
"s_6_1_5";0;"Ikke valgt"
"s_6_1_5";1;"Valgt"
"s_6_1_6";0;"Ikke valgt"
"s_6_1_6";1;"Valgt"
"s_6_1_7";0;"Ikke valgt"
"s_6_1_7";1;"Valgt"
"s_7_1";0;"Ikke valgt"
"s_7_1";1;"Valgt"
"s_7_2";0;"Ikke valgt"
"s_7_2";1;"Valgt"
"s_7_3";0;"Ikke valgt"
"s_7_3";1;"Valgt"
"distr_1";0;"Ikke valgt"
"distr_1";1;"Valgt"
"distr_2";0;"Ikke valgt"
"distr_2";1;"Valgt"
"distr_3";0;"Ikke valgt"
"distr_3";1;"Valgt"
"seedce";1;"CE 1"
"seedce";2;"CE 2"
"seedce";3;"CE 3"
"seedce";4;"CE 4"
"seedce";5;"CE 5"
"seedce";6;"CE 6"
"statc_1";0;"Ikke valgt"
"statc_1";1;"Valgt"
"statc_2";0;"Ikke valgt"
"statc_2";1;"Valgt"
"statc_3";0;"Ikke valgt"
"statc_3";1;"Valgt"
"statc_4";0;"Ikke valgt"
"statc_4";1;"Valgt"
"statc_5";0;"Ikke valgt"
"statc_5";1;"Valgt"
"statc_6";0;"Ikke valgt"
"statc_6";1;"Valgt"
"statc_7";0;"Ikke valgt"
"statc_7";1;"Valgt"
"statc_8";0;"Ikke valgt"
"statc_8";1;"Valgt"
"statd_1";0;"Ikke valgt"
"statd_1";1;"Valgt"
"statd_2";0;"Ikke valgt"
"statd_2";1;"Valgt"
"statd_3";0;"Ikke valgt"
"statd_3";1;"Valgt"
"statd_4";0;"Ikke valgt"
"statd_4";1;"Valgt"
"statd_5";0;"Ikke valgt"
"statd_5";1;"Valgt"
"stats_1";0;"Ikke valgt"
"stats_1";1;"Valgt"
"stats_2";0;"Ikke valgt"
"stats_2";1;"Valgt"
"stats_3";0;"Ikke valgt"
"stats_3";1;"Valgt"
"stats_4";0;"Ikke valgt"
"stats_4";1;"Valgt"
"stats_5";0;"Ikke valgt"
"stats_5";1;"Valgt"
"stats_6";0;"Ikke valgt"
"stats_6";1;"Valgt"
"statc_9";0;"Ikke valgt"
"statc_9";1;"Valgt"
"stat_19";0;"Ikke valgt"
"stat_19";1;"Valgt"
"stat_20";0;"Ikke valgt"
"stat_20";1;"Valgt"
"stat_21";0;"Ikke valgt"
"stat_21";1;"Valgt"
"stato_1";0;"Ikke valgt"
"stato_1";1;"Valgt"
"stato_2";0;"Ikke valgt"
"stato_2";1;"Valgt"
"stato_3";0;"Ikke valgt"
"stato_3";1;"Valgt"
"stato_4";0;"Ikke valgt"
"stato_4";1;"Valgt"
"stato_5";0;"Ikke valgt"
"stato_5";1;"Valgt"
